Year,Country of Asylum,Country of Origin,Country of Asylum ISO,Country of Origin ISO,Population Type,Footnote,Refugees,Asylum-seekers,IDPs,Other people in need of international protection,Stateless persons,Host community,Others of concern
2021,Uzbekistan, ,UZB,,STA,"The 2021 end-year statelessness figure refers to stateless persons with permanent residence in Uzbekistan officially reported by the Government of Uzbekistan to UNHCR as of 31 December 2021. Information on other categories of statelessness is unavailable. The reported figure includes a reduction of 2,200 people who acquired the citizenship of Uzbekistan from 1 to 31 December 2020, which was not included in the 2020 annual statistics as it was reported in February 2022.",,,,,,,
2015, ,South Sudan,,SSD,IDP,"An unknown number of refugees and asylum-seekers from South Sudan may be included under Sudan (in absence of separate statistics for both countries). IDP figure in South Sudan includes 105,000 people who are in an IDP-like situation.",,,,,,,
2025,Kyrgyzstan, ,KGZ,,REF,"Based on new arrivals information in the report of international organizations and UNHCR protection monitoring activities, UNHCR estimates there to be 22,500 people of various origins in Kyrgyzstan who may be in need of international protection.",,,,,,,
2023,Norway, ,NOR,,STA,The decrease in the stateless population in Norway between 2022 and 2023 is due to de-duplication of figures reported in previous years.,,,,,,,
2019,Thailand, ,THA,,STA,"The total statelessness figure includes 474,888 non-displaced stateless persons reported by the Royal Thai Government and registered with the national civil registration system as of December 2019. This figure includes 119 stateless persons of Rohingya ethnicity from Myanmar who are also counted as others of concern to UNHCR. UNHCR’s statistical reporting generally follows a methodology that reports only one status for each person of concern. However, due to the size of the stateless Rohingya population displaced from Myanmar, UNHCR considers it important to reflect the dual status of this population group as others of concern to UNHCR and stateless. This approach is being used for Thailand for the first time in 2019.",,,,,,,
2015 - 2016,Belarus, ,BLR,,STA,"Number of stateless persons registered by the Department of Citizenship and Migration of the Ministry of Internal Affairs of Belarus. (In the 2009 census, 16,116 persons declared that they do not possess any nationality).",,,,,,,
2015,Bangladesh,Myanmar,BGD,MMR,REF,"The refugee population includes 200,000 persons originating from Myanmar in a refugee-like situation. The Government of Bangladesh estimates the population to be between 300,000 and 500,000.",,,,,,,
2018, ,Iraq,,IRQ,REF,"Refugee figure for Iraqis in the Syrian Arab Republic was a Government estimate. UNHCR has registered and is assisting 15,700 Iraqis at the end of 2018. The refugee population in Jordan includes 34,600 Iraqis registered with UNHCR. The Government of Jordan estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",,,,,,,
2023,Kyrgyzstan, ,KGZ,,STA,277 persons were naturalized or granted citizenship in 2023. Since December 2021 the data on number of staleless persons is provided by the Government.,,,,,,,
2015 - 2017,North Macedonia, ,MKD,,STA,The great majority are former Yugoslav citizens who have yet to have their nationality of The former Yugoslav Republic of Macedonia formally recognized through the issuance of documents proving nationality.,,,,,,,
2017 - 2018,Latvia, ,LVA,,STA,"The Republic of Latvia enacted a Law on Stateless Persons on 17 February 2004, which replaced the Law on the Status of Stateless Persons in the Republic of Latvia of 18 February 1999, and which determines the legal status of persons who are not considered as citizens by the legislation of any State and whose status is not determined by the 25th April 1995 Law (quoted below).",,,,,,,
2018,Luxembourg, ,LUX,,REF,The figure relate to the end of 2016.,,,,,,,
2020,Poland, ,POL,,REF,"In Poland, the refugee population was rebased using the estimate of those likely to still be present on the territory of the State using the number of valid identity cards at year-end. This resulted in a reduction of some 10,200 refugees.",,,,,,,
2025,Kenya, ,KEN,,STA,"The figure is based on an estimate of 18,500 in 2019 by UNHCR with input from stateless communities of whom 1,670 stateless persons of Shona descent were granted Kenyan citizenship in 2020. In 2023, approximately 7,000 individuals from the Pemba community had their nationality confirmed. An official government report on the Pemba registration exercise is yet to be released and statistics will be updated accordingly. As of mid-2025, the figure of 9,800 stateless persons in Kenya remains an estimate.",,,,,,,
2018,Syrian Arab Rep.,Iraq,SYR,IRQ,REF,"Refugee figure for Iraqis  in the Syrian Arab Republic was a Government estimate. UNHCR has registered and is assisting 15,700 Iraqis at the end of 2018.",,,,,,,
2021, ,Iraq,,IRQ,REF,"The refugee population in Jordan includes 34,350 Iraqis registered with UNHCR. The Government of Jordan estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",,,,,,,
2022,Bosnia and Herzegovina, ,BIH,,REF,"By mid-2022, there were 234 Ukrainian nationals, 73 of whom were protected, a further 73 under temporary residence on humanitarian grounds and 161 with non-visa stay.",,,,,,,
2018,Syrian Arab Rep.,Iraq,SYR,IRQ,"REF,STA","Refugee figure for Iraqis was a Government estimate. UNHCR has registered 15,700 Iraqis at the end of 2018. According to some reports many stateless persons were naturalized between 2011-2018, but no official figures are yet confirmed.",,,,,,,
2015,Haiti, ,HTI,,STA,Figure of stateless persons refers to individuals without a nationality who were born in the Dominican Republic prior to January 2010 and who were identified by UNHCR in Haiti during the reporting period.,,,,,,,
2020,Spain, ,ESP,,REF,"The overall figures for Spain include cases granted refugee status (4%), subsidiary protection (1%) and cases that were granted authorization to stay based on humanitarian reasons (37%).",,,,,,,
2016,Bangladesh,Myanmar,BGD,MMR,"REF,IDP","The refugee population in Bangladesh includes 243,000 persons in refugee- like situation from Myanmar. IDP figure in Myanmar includes 150,000 persons in an IDP-like situation.",,,,,,,
2019,Kenya, ,KEN,,STA,"The figure of 18,500 is an estimate by UNHCR with input from stateless communities. The stateless population figures will be further reviewed in 2020 taking into consideration results from the 2019 Population and Housing Census conducted by the Government of Kenya as well as several studies on stateless populations undertaken over the last few years.",,,,,,,
2016 - 2018,Luxembourg, ,LUX,,ASY,Data refers to number of cases or mix of persons and cases.,,,,,,,
2022,Uzbekistan, ,UZB,,STA,The 2022 statelessness figure refers to stateless persons with permanent residence in Uzbekistan officially reported by the Government of Uzbekistan to UNHCR as of 31 December 2022. Information on other categories of statelessness is unavailable.,,,,,,,
2022 - 2023,South Sudan, ,SSD,,STA,The reported figure is a preliminary estimate of persons of undetermined nationality by UNHCR. The estimate is based on the UNHCR 2018 statelessness study which documents specific profiles of groups at risk of statelessness in South Sudan.,,,,,,,
2015,Albania, ,ALB,,STA,Figure refers to a census from 2011 and is currently under review.,,,,,,,
2022,Saudi Arabia, ,SAU,,ASY,"Only those asylum-seekers facing acute or imminent protection risks are registered by UNHCR. There are some 13,400 other asylum-seekers who were individually assessed, counselled and advised to inform UNHCR of any changes in their situation, which would justify a decision to register them.",,,,,,,
2017 - 2018,Australia, ,AUS,,ASY,Australia's figures for asylum-seekers are based on the number of applications lodged for protection visas.,,,,,,,
2022,Cote d'Ivoire, ,CIV,,STA,"The statelessness figure is based on a 2019 mapping study jointly conducted by the Government and UNHCR. On 30 June 2022, the cessation clause for Ivorian refugees recommended by UNHCR came into effect.",,,,,,,
2017 - 2018,Albania, ,ALB,,STA,The statelessness figure refers to a census from 2011 and has been adjusted to reflect the number of persons with undetermined nationality who had their nationality confirmed in 2011-2017.,,,,,,,
2023,Saudi Arabia, ,SAU,,ASY,"Also, only those asylum-seekers facing acute or imminent protection risks are registered by UNHCR. In addition, there are some 3,900 other asylum-seekers who were individually assessed, counselled and advised to inform UNHCR of any changes in their situation, which would justify a decision to register them.",,,,,,,
2016,United States of America, ,USA,,ASY,Asylum applications and pending figures are adjusted with the average number of person per case(1.46).,,,,,,,
2024,United Kingdom of Great Britain and Northern Ireland, ,GBR,,STA,"The UK’s stateless figures show the number of stateless individuals recognised through the UK's stateless determination procedure since it began in 2013. In previous years, this figure has been calculated by adding all grants of stateless leave. This resulted in unavoidable double counting for stateless individuals who were applying for further statelessness leave after the expiry of their initial grant of leave. The UK Government has now provided data for initial and subsequent grants. The subsequent grants have therefore been removed from the previous cumulative figure between 2013 - 2018. Since 2019, the cumulative figure now only includes initial grants of leave following individuals’ recognition as stateless. As of 2024, the total number of individuals recognised under UK’s statelessness determination procedure is 389. UNHCR further provides the number of asylum-seekers and refugees whose nationality has been recorded as ‘stateless’ as part of the asylum process. For this group there has been no formal determination that they are stateless. The number of 'stateless' asylum-seekers in the UK awaiting a decision has been revised, following decisions on their asylum claims during the year.",,,,,,,
2016 - 2017,United Kingdom of Great Britain and Northern Ireland, ,GBR,,STA,Figure refers to persons who have been recognized as stateless through the statelessness determination procedure in 2013 - 2016.,,,,,,,
2025,Jordan, ,JOR,,REF,"The refugee population in Jordan includes 23,300 Iraqis registered with UNHCR. The Government of Jordan estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",,,,,,,
2022,Spain, ,ESP,,REF,"The overall figures for Spain include refugee status (6%), subsidiary protection (9%), temporary protection (50%) and humanitarian reasons (35%). Source: Spanish Ministry of Inclusion, Social Security and Migration.",,,,,,,
2015, ,Sri Lanka,,LKA,IDP,"The statistics of the remaining IDPs at the end of 2015, while provided by the Government authorities at the district level, are being reviewed by the central authorities. Once this review has been concluded, the statistics will be changed accordingly.",,,,,,,
2018,Cote d'Ivoire, ,CIV,,STA,Figure is based on a Government estimate of individuals who themselves or whose parents or grandparents migrated to Côte d’Ivoire before or just after independence and who did not establish their nationality at independence or before the nationality law changed in 1972. The estimate is derived in part from cases denied voter registration in 2010 because electoral authorities could not determine their nationality at the time. The estimation is adjusted to reflect the number of persons who acquired nationality through the special ‘acquisition of nationality by declaration’ procedure until end of 2018. The estimate does not include individuals of unknown parentage who were abandoned as children and who are not considered as nationals under Ivorian law.,,,,,,,
2015,Guinea-Bissau, ,GNB,,REF,Refugee figure relates to the end of 2014.,,,,,,,
2015,Tajikistan, ,TJK,,STA,Figure based on a registration exercise in three regions and 729 people registered as stateless by the Ministry of Internal Affairs of Tajikistan.,,,,,,,
2024,Ethiopia, ,ETH,,IDP,The estimate for internally displaced people in Ethiopia included previously inaccessible locations in the Tigray region and the south of the country.,,,,,,,
2016 - 2018,Zimbabwe, ,ZWE,,STA,A study is being pursued to provide a revised estimate of this figure.,,,,,,,
2019,Spain, ,ESP,,REF,"The overall figures for Spain include cases granted refugee status (3%), subsidiary protection (3%) and cases that were granted authorization to stay based on humanitarian reasons (63%).",,,,,,,
2022,Bosnia and Herzegovina, ,BIH,,STA,"During the year, 48 people had their nationality confirmed.",,,,,,,
2018 - 2019,Philippines, ,PHL,,STA,The updated figure is based on improved information concerning persons of Indonesian descent who have acquired nationality.,,,,,,,
2020,Bangladesh, ,BGD,,STA,"The figure reported relates to 866,457 stateless persons of Rohingya ethnicity who are also counted as refugees from Myanmar, mainly from Rakhine State. UNHCR’s statistical reporting generally follows a methodology that reports only one legal status for each person of concern. However, due to the size of the stateless Rohingya population displaced from Myanmar, UNHCR considers it important to reflect the dual status of this population group as both displaced and stateless. This approach has been used for Bangladesh since 2017.",,,,,,,
"2015 - 2019, 2021, 2024",Japan, ,JPN,,"ASY,REF,IDP,STA,OOC,HST,OIP",Figures are UNHCR estimates.,,,,,,,
2018,Papua New Guinea, ,PNG,,"REF,ASY,IDP,STA,OOC,HST,OIP",The data was provided by the Government on 3 December 2018.,,,,,,,
2015 - 2016,Serbia and Kosovo: S/RES/1244 (1999), ,SRB,,ASY,Refers to refugee status determination conducted in Kosovo S/RES/1244(1999).,,,,,,,
2023,Myanmar, ,MMR,,STA,"The estimated figure of persons of concern under the statelessness mandate relates to stateless persons of Rohingya ethnicity in Rakhine State, including stateless Rohingya IDPs in Myanmar. The number of persons of undetermined nationality residing in other states or regions in Myanmar is not currently available. The number of stateless persons remaining in Rakhine State following violence in 2016 and 2017 and large scale departures to Bangladesh is based on detailed estimates for each village tract made by UNHCR, other UN agencies and NGOs in early 2018, which concluded that between 532,000 to 600,000 Rohingya remained in Rakhine State, increasing to 632,800 due to additional displacement (including an estimated 155,500 of those Rohingya who have been internally displaced).",,,,,,,
2020,Kenya, ,KEN,,STA,"The figure of 18,500  in 2019 was an estimate by UNHCR with input from stateless communities. In December 2020 the Government of Kenya registered 1,670 stateless persons of Shona descent as citizens of Kenya putting an end to their statelessness situation. This brings the total estimated statelessness population down to 16,830.",,,,,,,
2021,United States of America, ,USA,,ASY,"UNHCR’s global reporting standard for asylum statistics is for individual level data. To meet this standard, US Citizenship and Immigration Services (USCIS) shared the 2021 asylum data expressed in terms of individuals. Previously, USCIS provided data based on asylum “cases” and average family household size, which UNHCR used to estimate the total number of individual asylum applications before USCIS. The shift in 2021 to USCIS reporting of individuals (not cases) allows for more precise reporting, as well as more consistency across the U.S. asylum data, since the U.S. Executive Office for Immigration Review (EOIR) has already been reporting individual-level asylum statistics to UNHCR. UNHCR notes that the increase in the reported number of asylum applications filed with USCIS in 2021 primarily reflects this change in reporting modality.",,,,,,,
2022,Canada,Ukraine,CAN,UKR,REF,Refers to people in refugee-like situations.,,,,,,,
2022, ,Ukraine,,UKR,OOC,"The others of concern figure at end-2022 corresponds to the number of conflict-affected, non-displaced people assisted by UNHCR during the year.",,,,,,,
2023,Russian Federation,Ukraine,RUS,UKR,REF,"The figure for the Russian Federation includes 1.2 million Ukrainians who were granted refugee or temporary asylum status, as well as those recorded in the country in 2023 under other forms of stay.",,,,,,,
2015,Ecuador, ,ECU,,ASY,No information on asylum applications registered or decisions taken during 2015 is available. Pending cases refers to September 2013.,,,,,,,
2015,Ecuador, ,ECU,,"REF,ASY,IDP,STA,OOC,HST,OIP",All figures relate to the end of 2014 except refugees.,,,,,,,
2015,Israel, ,ISR,,ASY,Asylum applications registered and decisions taken is limited to UNHCR data.,,,,,,,
2025,United Kingdom of Great Britain and Northern Ireland, ,GBR,,STA,"With regards to stateless statistics, the UK’s stateless figures show the number of stateless individuals recognised through the UK's stateless determination procedure since it began in 2013 (389 as of end-2024). UNHCR further provides the number of asylum-seekers and refugees whose nationality has been recorded as ‘stateless’ as part of the asylum process. For this group there has been no formal determination that they are stateless.",,,,,,,
2025,Netherlands (Kingdom of the), ,NLD,,REF,"The total number of refugees by mid-2025 is an estimation based on the data on recognized refugees by end-2024 as provided by authorities, adding the recognitions during the first half of 2025 and deducting the recognitions during the first half of 2015, to which the total number of temporary protection status holders by mid-year was added.",,,,,,,
2021,Ukraine, ,UKR,,STA,"The numbers reported in Ukraine are an extrapolation of the 2001 census figure of persons who self-declared as not having a nationality. It includes 6,047 persons who are registered as stateless by the Ministry of the Interior of Ukraine.",,,,,,,
2024,Denmark, ,DNK,,STA,"With regards to stateless statistics, the figures include: (a) the number of stateless asylum seekers at end-year reported by the Danish authorities; (b) the number of stateless refugees at year-end with valid residence permit as of 1 January 2024 and increases (e.g. recognitions) or decreases (e.g. refugee status cessation) through the year as reported by Danish authorities; and (c) the number of non-displaced stateless persons (those with other non-protection related types of permits) based on data from Statistics Denmark corresponding to the resident population recorded as ""Stateless"" as of 1 January 2025, deducting the estimated number of stateless refugees at year-end.",,,,,,,
2018 - 2025,United States of America, ,USA,,STA,"The United States of America has not adopted a formal status determination procedure to identify stateless persons, and there is no official government data-tracking of the stateless population in the USA. As such, while the USA has a stateless population, the actual number is unknown.",,,,,,,
2023,Slovakia, ,SVK,,STA,"A previous estimate of persons of undetermined nationality was removed, as more comprehensive dissagregation of country of origin information of populations from the 2021 census became available.",,,,,,,
2015 - 2025,Estonia, ,EST,,STA,Almost all people recorded as being stateless have permanent residence and enjoy more rights than foreseen in the 1954 Convention relating to the Status of Stateless Persons.,,,,,,,
2021,Kyrgyzstan, ,KGZ,,STA,128 persons were naturalized or granted citizenship in 2021. The data on number of staleless persons as of 31 December 2021 is provided by the Government.,,,,,,,
2018,Haiti, ,HTI,,STA,Figure refers to individuals without a nationality who were born in the Dominican Republic prior to January 2010 and who were identified by UNHCR in Haiti from July 2015 to September 2017.,,,,,,,
2015,Syrian Arab Rep.,Iraq,SYR,IRQ,REF,"Refugee figure for Iraqis in the Syrian Arab Republic was a Government estimate. UNHCR is assisting 18,300 Iraqis at the end of 2015.",,,,,,,
2022 - 2023,Uganda, ,UGA,,STA,"This figure presents an estimate of persons with undetermined nationality/at risk of statelessness, based on joint outreach mission conducted by the Government of Uganda and UNHCR in September/October 2021, that aimed to provide estimate numbers through self-identification of communities not recognized under the Third Schedule of the 1995 Constitution.",,,,,,,
2020,Iran (Islamic Rep. of), ,IRN,,STA,"The figures reported reflects stateless persons of Rohingya ethnicity who are also counted as refugees from Myanmar, mainly from Rakhine State. UNHCR’s statistical reporting generally follows a methodology that reports only one legal status for each person of concern. However, due to the size of the stateless Rohingya population displaced from Myanmar, UNHCR considers it important to reflect the dual status of this population group as both displaced and stateless. The figure reflected does not represent an estimation of the entire stateless population.",,,,,,,
2018 - 2019,Croatia, ,HRV,,STA,Figure from the 2011 census. It includes 28 persons registered as stateless by the Government of Croatia.,,,,,,,
2025,Malaysia, ,MYS,,STA,"The total stateless population in Malaysia includes 9,200 non-displaced stateless people who may be entitled to Malaysian nationality under the law. This number of non-displaced stateless people is based on a registration and community legal assistance programme undertaken in West Malaysia by a local NGO with technical support from UNHCR. The total statelessness figure reported also includes 119,100 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State.",,,,,,,
2019 - 2023,Syrian Arab Rep., ,SYR,,STA,"According to some reports many stateless persons have been naturalized since 2011, but no official figures are yet confirmed.",,,,,,,
2022,Colombia, ,COL,,IDP,"The National Victims Registry of Colombia contains the historical accumulated figure of the number of victims of displacement which continues to increase, given that victims continue to be registered in the country. Thus, the total number of persons recognized as victims of displacement (more than 8.4 million), includes the number of IDPs who are subject to attention and/or reparation, i.e. those who meet the requirements to access the measures of attention and reparation established in Colombian Law 1448 (6.8 million). The number of victims of displacement who are deceased, direct victims of forced disappearance and homicide, and other victims who, for various reasons, cannot effectively access these measures, are identified as not being subject to attention or reparation and therefore not included in the figure of 6.8 million. The figure is constantly updated, considering that by legal definition, victims have up to two years to make their declaration and be included in the registry system. See the summary: https://www.unidadvictimas.gov.co/es/registro-unico-de-victimas-ruv/37394.",,,,,,,
2024,Iceland, ,ISL,,STA,"With regards to stateless statistics, the figures include: (a) the number of stateless asylum seekers at end-year as reported by the Icelandic authorities; (b) the number of stateless refugees at year-end with valid residence permits on the basis of international protection as reported by Icelandic authorities; and (c) the number of non-displaced stateless persons (those with other non-protection related types of permits) based on data from Statistics Iceland corresponding to the resident population recorded as ""Stateless"" as of 1 January 2024 (no available data for end-2024 yet), deducting the reported number of stateless refugees at year-end.",,,,,,,
2021,Lithuania, ,LTU,,"REF,ASY,IDP,STA,OOC,HST,OIP",Data for refugees and stateless people is as of end-2020.  Data for asylum-seekers is sourced from the monthly statistics published on the Government website: https://migracija.lrv.lt/lt/statistika/prieglobscio-skyriaus-statistika/statistika-1/2021-metai,,,,,,,
2023,Spain, ,ESP,,REF,"The number of refugees is based on the data on refugees, as provided by the government. The overall figures for Spain include refugee status (7%), subsidiary protection (8%), temporary protection (50%) and humanitarian reasons (35%). Source: Spanish Ministry of Inclusion, Social Security and Migration.",,,,,,,
2024 - 2025,Sweden, ,SWE,,REF,"With regards to refugee statistics, since 2024 the number of refugees in Sweden are based on data reported by authorities of persons with valid residence permits issued on the basis of international protection. The figures replace previous refugee stock estimations conducted by UNHCR.",,,,,,,
2017,Philippines, ,PHL,,STA,"By the end of 2017, a total of 6,072 persons out of the 8,745 persons of Indonesian descent registered by the Government of the Philippines between 2014-2016 were confirmed as Filipino, Indonesian or dual nationals.",,,,,,,
2025,Uzbekistan, ,UZB,,STA,"Authorities in Uzbekistan confirmed that the number of stateless persons with permanent residence has decreased below 20,000, leading to a revision of the previous statistics as of 31 December 2023. The figures will be reviewed once official data for 2025 becomes available. Information on categories of statelessness, other than stateless persons with permanent residence is unavailable.",,,,,,,
2024,Australia, ,AUS,,STA,"Stateless figures in Australia are sourced from the Government. They consist of figures on stateless persons held in detention and those that have been issued or are in an application process for an “Onshore Humanitarian Visa” and have self-reported to be stateless. Australia does not have a separate statelessness status determination procedure and only provides statistics on humanitarian visas. Due to this, the figure reported here does not capture all stateless persons in Australia and is not an estimate of statelessness in Australia. Figures for stateless persons in detention come from the Australian Government Department of Home Affairs and Australian Border Force report on Immigration Detention and Community Statistics Summary 31 December 2024. As updated data for some stateless populations were not yet available, some of the figures only reflect information received until mid-2024.",,,,,,,
2024 - 2025,Slovenia, ,SVN,,STA,"With regards to stateless statistics, the figure is an estimate based on previous NGO analysis of government data and may not represent the full magnitude of statelessness in Slovenia.",,,,,,,
2018,Bangladesh, ,BGD,,REF,"Refugee figure includes 906,635 stateless persons from Myanmar.",,,,,,,
2021 - 2022,Bulgaria, ,BGR,,REF,"No official data on the actual number of refugees residing in Bulgaria is available. According to estimates, between 1,000 and 2,000 refugees and humanitarian status holders remain in the country. It is expected that the 2021 National Census, which will include for the first-time refugee and stateless populations, will provide more accurate data by end of 2022.",,,,,,,
2021,Colombia, ,COL,,IDP,"The National Victims Registry of Colombia contains the historical accumulated figure of the number of victims of displacement, which continues to increase given that victims continue to be registered in the country. Thus, the total number of people recognized as victims of displacement (more than 8.2 million), includes the number of IDPs who are subject to attention and/or reparation, i.e. those who meet the requirements to access the measures of attention and reparation established in Colombian Law 1448 (6.8 million). The number of victims of displacement who are deceased, or IDPs who were victims of homicide or forced disappearance, and other victims who, for various reasons, cannot effectively access these measures, are identified as not being subject to attention or reparation and therefore not included in the figure of 6.8 million. The figure is constantly updated, considering that by legal definition, victims have up to two years to make their declaration and be included in the registry system. See the summary: https://www.unidadvictimas.gov.co/es/registro-unico-de-victimas-ruv/37394.",,,,,,,
2023,Poland, ,POL,,STA,"There is no official data on statelessness in Poland. The reported figure refers to the number of stateless persons holding a personal identification number issued by the Government, which does not cover all stateless people in the country. The figure additionally includes stateless asylum-seekers and refugees (incl. benificiaries of temporary protection) in Poland.",,,,,,,
2016,Jordan,Iraq,JOR,IRQ,REF,"Includes 33,100 Iraqi refugees registered with UNHCR in Jordan. The Government estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",,,,,,,
2015,United Kingdom of Great Britain and Northern Ireland, ,GBR,,STA,Figure refers to persons who have been recognized as stateless through the statelessness determination procedure in 2013 - 2015.,,,,,,,
2019,Luxembourg, ,LUX,,ASY,Source: Eurostat,,,,,,,
2016,Philippines, ,PHL,,STA,"Updated figure is based on a registration exercise covering 28 municipalities that has taken place between 2014 and 2016. 4,112 of the registered group were confirmed as Filipino, Indonesian or dual nationals during 2016.",,,,,,,
2021,South Africa, ,ZAF,,ASY,New asylum applications were not received in 2021 while Refugee Reception Offices were closed due to the declaration of a national state of disaster (COVID-19 health pandemic).,,,,,,,
2020 - 2021,South Sudan, ,SSD,,STA,This newly reported figure is a preliminary estimate of persons of undetermined nationality by UNHCR. The estimate is based on the UNHCR 2018 statelessness study which documents specific profiles of groups at risk of statelessness in South Sudan.,,,,,,,
2019,Singapore, ,SGP,,STA,Figure provided by Singapore’s Immigration and Checkpoints Authority in February 2019 on the number of stateless people living in the country.,,,,,,,
2025,Sweden, ,SWE,,STA,"With regards to stateless statistics, the number of stateless persons at mid-year in Sweden are based on data reported by the Swedish Migration Agency including stateless refugees (3,613), stateless asylum-seekers (201) and stateless persons with other non-protection related types of permits (2,613).",,,,,,,
2024,Iran (Islamic Rep. of), ,IRN,,REF,"From the Islamic Republic of Iran, almost a quarter of a million Afghans were estimated to have returned to their country in 2024. Refugee returns are expected to increase in 2025, following the announcement by the Government of the Islamic Republic of Iran in February 2025 that headcount slips will not be extended beyond 20 March 2025. See https://data.unhcr.org/en/documents/details/115667.",,,,,,,
2016,Dominican Rep., ,DOM,,STA,"UNHCR is currently working with the authorities and other actors to determine the size of the population that found an effective nationality solution under Law 169-14. Since the adoption of Law 169-14 in May 2014, important steps have been taken by the Dominican Republic to confirm Dominican nationality through the validation of birth certificates of individuals born in the country to two migrant parents. Thousands of individuals also are believed to have been issued their Dominican civil documents in 2016, although an official figure was not available for this report.",,,,,,,
2017 - 2018, , ,,,IDP,"Since 2007, people in IDP-like situations are included in the IDP estimates. IDP figures since 2007 are not fully comparable with previous years.",,,,,,,
2023,Rwanda, ,RWA,,STA,"This figure presents an estimate of persons with undetermined nationality/at risk of statelessness, based on a survey conducted by the Directorate General of Immigration and Emigration (DGIE) in 2010, which found approximately 9,500 persons to be at risk of statelessness. The 2023 population and housing census, led to the identification of areas where populations reside who are stateless or at the risk thereof. Efforts are underway to conduct targeted surveys that will provide an updated and reliable statistics.",,,,,,,
2025,United States of America, ,USA,,"REF,ASY","Comprehensive statistics from the United States of America, including those on asylum applications, decisions and pending cases, were last reported up to mid-2024.",,,,,,,
2018,Myanmar, ,MMR,,IDP,"The figures include an estimated 125,000 stateless IDPs, people in IDP-like situation who are also of concern under the statelessness mandate.",,,,,,,
2022,Latvia, ,LVA,,STA,"With respect to persons under UNHCR’s statelessness mandate, this figure includes persons of concern covered by two separate Latvian laws. 160 persons fall under the Republic of Latvia’s Law on Stateless Persons on 17 February 2004. 187,404 of the persons fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).",,,,,,,
2020,Slovakia, ,SVK,,STA,The figure includes 63 stateless persons who held permits to stay in Slovakia according to 2011 census. No updated data on the number of stateless persons was available at the time of reporting.,,,,,,,
2024,Kenya, ,KEN,,STA,"The figure is based on an estimate of 18,500 in 2019 by UNHCR with input from stateless communities of whom 1,670 stateless persons of Shona descent were granted Kenyan citizenship in 2020. In 2023, approximately 7,000 individuals from the Pemba community had their nationality confirmed. An official government report on the Pemba registration exercise is yet to be released and statistics will be updated accordingly. As of end-2024, the figure of 9,800 stateless persons in Kenya remains an estimate.",,,,,,,
2017,Iraq, ,IRQ,,STA,"Pending a more accurate study into stateless in Iraq, the estimate of stateless persons in Iraq has been adjusted to reflect the reduction of statelessness in line with Law 26 of 2006, which allows stateless  persons to apply for nationality in certain circumstances.",,,,,,,
2024,Kazakhstan, ,KAZ,,REF,"Based on the information reported in the media as well as UNHCR protection monitoring activities, UNHCR estimates there to be 65,500 people of various origins in Kazakhstan who may be in need of international protection.",,,,,,,
2018,Haiti, ,HTI,,STA,Stateless figure refers to individuals without a nationality who were born in the Dominican Republic prior to January 2010 and who were identified by UNHCR in Haiti since June 2015.,,,,,,,
2017 - 2018,Haiti, ,HTI,,ASY,All figures refer to the end of 2016.,,,,,,,
2024 - 2025, ,Colombia,,COL,OOC,"The figure of 516,000 others of concern provided by the Government of Colombia is no longer reported as it reflects a historical caseload for which up-to-date information is not available.",,,,,,,
2024 - 2025,Israel, ,ISR,,STA,The number of reported stateless people reflects only those individually known to UNHCR and partners. It does not include an estimate of all stateless people in the country.,,,,,,,
2018 - 2019,United States of America, ,USA,,ASY,"Asylum applications which are reported as cases can be multiplied overall by average number of person per case of 1.501 when summarising the data by country of asylum, but not origin.  This is due to the significant variance in the average case size by country of origin.",,,,,,,
2015 - 2017, ,Croatia,,HRV,REF,UNHCR has recommended on 4 April 2014 to start the process of cessation of refugee status for refugees from Croatia displaced during the 1991-95 conflict. The Office suggests that cessation enters into effect latest by the end of 2017.,,,,,,,
2016,Bosnia and Herzegovina, ,BIH,,STA,"Figure adjusted to reflect the results of a verification exercise, identification of new cases and the number of individuals who had their nationality confirmed between 2014 and 2016.",,,,,,,
2019 - 2022, , ,,,"REF,ASY,IDP,STA,OOC,HST,OIP","The data are generally provided by governments, based on their own definitions and methods of data collection.",,,,,,,
2019,Greece, ,GRC,,STA,Figure based on the 2011 census. Census figures were adjusted to include people registered as stateless by the Ministry of Interior from 2012 to 2019.,,,,,,,
